,Tag,FIPS,YYYY,DrugReports
0,0.0,21001,2010,1
1,0.0,21001,2011,1
2,0.0,21001,2012,2
3,0.0,21003,2010,4
4,0.0,21003,2012,5
5,0.0,21003,2014,3
6,0.0,21005,2010,2
7,0.0,21005,2011,7
8,0.0,21005,2013,1
9,0.0,21005,2015,2
10,0.0,21005,2016,3
11,0.0,21005,2017,6
12,0.0,21007,2016,1
13,0.0,21009,2010,5
14,0.0,21009,2011,6
15,0.0,21009,2012,4
16,0.0,21009,2013,3
17,0.0,21009,2014,3
18,0.0,21009,2015,3
19,0.0,21009,2017,4
20,0.0,21011,2010,1
21,0.0,21011,2011,4
22,0.0,21011,2012,3
23,0.0,21011,2013,1
24,0.0,21011,2015,5
25,0.0,21011,2016,3
26,0.0,21011,2017,6
27,0.0,21013,2010,10
28,0.0,21013,2011,8
29,0.0,21013,2012,6
30,0.0,21013,2013,6
31,0.0,21013,2014,8
32,0.0,21013,2015,11
33,0.0,21013,2016,6
34,0.0,21013,2017,4
35,0.0,21015,2010,7
36,0.0,21015,2011,10
37,0.0,21015,2012,3
38,0.0,21015,2013,2
39,0.0,21015,2014,20
40,0.0,21015,2015,80
41,0.0,21015,2016,77
42,0.0,21015,2017,129
43,0.0,21017,2010,2
44,0.0,21017,2011,2
45,0.0,21017,2013,1
46,0.0,21017,2015,1
47,0.0,21017,2016,2
48,0.0,21017,2017,6
49,0.0,21019,2010,7
50,0.0,21019,2011,7
51,0.0,21019,2012,7
52,0.0,21019,2013,7
53,0.0,21019,2014,11
54,0.0,21019,2015,10
55,0.0,21019,2016,15
56,0.0,21019,2017,65
57,0.0,21021,2010,1
58,0.0,21021,2011,1
59,0.0,21021,2012,4
60,0.0,21021,2013,1
61,0.0,21021,2014,7
62,0.0,21021,2015,6
63,0.0,21021,2016,18
64,0.0,21021,2017,51
65,0.0,21023,2011,1
66,0.0,21023,2012,2
67,0.0,21023,2013,2
68,0.0,21023,2014,1
69,0.0,21023,2015,4
70,0.0,21023,2016,5
