 1) 0                              0.257958, 1) 0                              0.257554, 1) 0                              0.281768, 1) 0                              0.273885, 1) 0                              0.281477
 2) HC01_VC70                      0.118116, 2) HC01_VC12                      0.159743, 2) HC01_VC12                      0.154037, 2) HC01_VC12                      0.135377, 2) HC01_VC12                      0.153826
 3) HC01_VC167                     0.044521, 3) HC01_VC70                      0.091213, 3) HC01_VC70                      0.083450, 3) HC01_VC13                      0.086865, 3) HC01_VC70                      0.078493
 4) HC02_VC70                      0.043328, 4) HC01_VC66                      0.076541, 4) HC03_VC47                      0.050691, 4) HC01_VC70                      0.078925, 4) HC01_VC62                      0.043315
 5) HC01_VC11                      0.043075, 5) HC01_VC110                     0.040286, 5) HC01_VC67                      0.041245, 5) HC01_VC120                     0.048384, 5) HC02_VC112                     0.043157
 6) HC01_VC87                      0.041771, 6) HC02_VC112                     0.040237, 6) HC01_VC62                      0.040131, 6) HC01_VC87                      0.042268, 6) HC01_VC67                      0.042269
 7) HC01_VC110                     0.040891, 7) HC01_VC39                      0.035488, 7) HC01_VC15                      0.038082, 7) HC01_VC104                     0.035891, 7) HC01_VC120                     0.041127
 8) HC01_VC107                     0.039019, 8) HC03_VC14                      0.026151, 8) HC01_VC69                      0.037735, 8) HC02_VC112                     0.022446, 8) HC01_VC13                      0.035686
 9) HC01_VC67                      0.036171, 9) HC01_VC194                     0.019104, 9) HC01_VC55                      0.017824, 9) HC01_VC131                     0.020319, 9) HC03_VC47                      0.032828
10) HC03_VC47                      0.028268,10) HC01_VC55                      0.010126,10) HC03_VC88                      0.012367,10) HC03_VC47                      0.014285,10) HC01_VC40                      0.014905
11) HC03_VC14                      0.023210,11) HC03_VC47                      0.009222,11) HC03_VC106                     0.011402,11) HC01_VC194                     0.010520,11) HC01_VC187                     0.013214
12) HC03_VC158                     0.013803,12) HC01_VC187                     0.008681,12) HC03_VC06                      0.010191,12) HC03_VC88                      0.008934,12) HC03_VC14                      0.011263
13) HC01_VC188                     0.011688,13) HC01_VC40                      0.007903,13) HC03_VC70                      0.010175,13) HC01_VC186                     0.008703,13) HC01_VC194                     0.010575
14) HC01_VC40                      0.011036,14) HC02_VC194                     0.007734,14) HC01_VC40                      0.008966,14) HC03_VC40                      0.008397,14) HC01_VC186                     0.010474
15) HC01_VC131                     0.011012,15) HC04_VC147                     0.006560,15) HC03_VC162                     0.007238,15) HC03_VC157                     0.008306,15) HC03_VC158                     0.007497
16) HC01_VC194                     0.010674,16) HC02_VC206                     0.006446,16) HC02_VC84                      0.006991,16) HC03_VC06                      0.007959,16) HC03_VC30                      0.007461
17) HC01_VC187                     0.009360,17) HC01_VC131                     0.005736,17) HC01_VC78                      0.006502,17) HC03_VC204                     0.007399,17) HC03_VC157                     0.006490
18) HC01_VC206                     0.007684,18) HC01_VC15                      0.005670,18) HC01_VC131                     0.006324,18) HC01_VC40                      0.006739,18) HC02_VC194                     0.006381
19) HC03_VC88                      0.007107,19) HC03_VC30                      0.005572,19) HC02_VC121                     0.006077,19) HC03_VC158                     0.006572,19) HC01_VC55                      0.006276
20) HC_YEAR                        0.006426,20) HC03_VC157                     0.004874,20) HC01_VC206                     0.006072,20) HC02_VC25                      0.005520,20) HC03_VC99                      0.005693
