0,1,2,HC_YEAR,target,modified_model,ori_model
0,21,1,2010,1,1,1.1
1,21,1,2010,6,7.3,12.9
0,21,3,2010,4,3.3,3.5
1,21,3,2010,26,26.7,28.4
0,21,5,2010,2,2.2,2.4
1,21,5,2010,32,31.4,27.3
0,21,9,2010,5,6.2,5
1,21,9,2010,57,64.5,62.7
0,21,11,2010,1,2.2,2.2
1,21,11,2010,51,43.7,79.1
0,21,13,2010,10,8.9,9.8
1,21,13,2010,251,174.9,198.4
2,21,13,2010,2,6.2,6.3
0,21,15,2010,7,8.5,7.5
1,21,15,2010,90,110.2,80.3
2,21,15,2010,47,117.3,83.3
0,21,17,2010,2,1.9,2.3
1,21,17,2010,46,39.2,41.6
0,21,19,2010,7,5.8,6.4
1,21,19,2010,295,214,289.2
2,21,19,2010,5,7.8,21.1
0,21,21,2010,1,1.1,2.6
1,21,21,2010,59,43.8,49.4
0,21,25,2010,13,8.3,11.8
1,21,25,2010,87,70.5,51.6
2,21,25,2010,4,3.2,3.8
0,21,29,2010,9,9.6,8
1,21,29,2010,117,100.5,113.9
0,21,31,2010,1,1.5,1
1,21,31,2010,4,5.4,5.6
0,21,37,2010,27,31.2,24.7
1,21,37,2010,117,124.1,122.9
2,21,37,2010,86,94.2,153.4
0,21,39,2010,2,1.7,2
1,21,39,2010,4,11.7,36.4
0,21,41,2010,3,3.3,2.8
1,21,41,2010,44,34.2,42
2,21,41,2010,8,26.1,19.6
0,21,43,2010,3,2.3,3.6
1,21,43,2010,235,131.5,211.1
2,21,43,2010,1,4.3,4.9
0,21,45,2010,3,2.3,2.5
1,21,45,2010,54,48.7,47.4
0,21,47,2010,1,1.1,1
1,21,47,2010,49,46.2,43.3
0,21,49,2010,8,7.7,7.4
1,21,49,2010,151,128.9,133.5
0,21,51,2010,5,5.1,5.8
1,21,51,2010,79,72.3,95.8
0,21,55,2010,2,1.9,2.3
1,21,55,2010,10,9.8,9.1
0,21,59,2010,1,2,1.2
1,21,59,2010,37,48.5,52.9
0,21,61,2010,1,1,1.3
1,21,61,2010,9,8.7,12.4
0,21,67,2010,39,34.6,30.4
1,21,67,2010,476,353.4,423.9
2,21,67,2010,32,85.1,264.6
0,21,69,2010,3,2.4,3.8
1,21,69,2010,46,39.6,43.5
0,21,71,2010,9,8.3,7.9
1,21,71,2010,167,159.8,153.3
2,21,71,2010,1,2,1.6
0,21,73,2010,6,5.5,5.8
1,21,73,2010,87,83.8,85.3
2,21,73,2010,15,27.6,18.9
0,21,75,2010,3,3.8,2.3
1,21,75,2010,21,18.9,17.9
0,21,77,2010,1,1.3,1.7
1,21,77,2010,7,7.9,8.3
0,21,79,2010,2,1.9,3.8
1,21,79,2010,25,23.5,26
0,21,81,2010,2,2.2,1.6
