,YYYY,DrugCode_0,DrugCode_1,StateCode_0,StateCode_1,StateCode_2,CountyCode_0,CountyCode_1,CountyCode_2,CountyCode_3,CountyCode_4,CountyCode_5,CountyCode_6,CountyCode_7,Target
0,,,,,,,,,,,,,,,84.3986531293234
1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.64095342383567
2,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.88325371834794
3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.3986531293234
4,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,87.64095342383567
5,9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,90.88325371834794
6,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,94.12555401286022
7,11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,97.36785430737248
8,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,100.61015460188474
9,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,103.85245489639702
10,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,107.0947551909093
11,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,109.15450004145592
12,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,112.39680033596818
13,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,118.8814009249927
14,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,125.36600151401726
15,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,86.4296275225966
16,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,89.67192781710887
17,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,92.91422811162114
18,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,96.15652840613342
19,11.0,0,0,0,0,1,0,0,0,0,0,0,0,0,99.39882870064568
20,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,102.64112899515794
21,13.0,0,0,0,0,1,0,0,0,0,0,0,0,0,105.88342928967022
22,14.0,0,0,0,0,1,0,0,0,0,0,0,0,0,109.1257295841825
23,15.0,0,0,0,0,1,0,0,0,0,0,0,0,0,86.4296275225966
24,8.0,0,1,0,0,1,0,0,0,0,0,0,0,0,89.67192781710887
25,9.0,0,1,0,0,1,0,0,0,0,0,0,0,0,92.91422811162114
26,10.0,0,1,0,0,1,0,0,0,0,0,0,0,0,96.15652840613342
27,11.0,0,1,0,0,1,0,0,0,0,0,0,0,0,99.39882870064568
28,12.0,0,1,0,0,1,0,0,0,0,0,0,0,0,102.64112899515794
29,13.0,0,1,0,0,1,0,0,0,0,0,0,0,0,105.88342928967022
30,14.0,0,1,0,0,1,0,0,0,0,0,0,0,0,109.1257295841825
31,15.0,0,1,0,0,1,0,0,0,0,0,0,0,0,104.70087384570456
32,8.0,1,0,0,0,1,0,0,0,0,0,0,0,0,107.94317414021683
33,9.0,1,0,0,0,1,0,0,0,0,0,0,0,0,111.18547443472912
34,10.0,1,0,0,0,1,0,0,0,0,0,0,0,0,114.42777472924138
35,11.0,1,0,0,0,1,0,0,0,0,0,0,0,0,117.67007502375364
36,12.0,1,0,0,0,1,0,0,0,0,0,0,0,0,120.9123753182659
37,13.0,1,0,0,0,1,0,0,0,0,0,0,0,0,124.15467561277819
38,14.0,1,0,0,0,1,0,0,0,0,0,0,0,0,127.39697590729045
39,15.0,1,0,0,0,1,0,0,0,0,0,0,0,0,82.85900847179639
40,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,86.10130876630865
41,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,89.34360906082092
42,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.5859093553332
43,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,95.82820964984546
44,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0,99.07050994435772
45,13.0,0,0,0,1,0,0,0,0,0,0,0,0,0,102.31281023887
46,14.0,0,0,0,1,0,0,0,0,0,0,0,0,0,105.55511053338228
47,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,82.85900847179639
48,8.0,0,1,0,1,0,0,0,0,0,0,0,0,0,86.10130876630865
49,9.0,0,1,0,1,0,0,0,0,0,0,0,0,0,89.34360906082092
50,10.0,0,1,0,1,0,0,0,0,0,0,0,0,0,92.5859093553332
51,11.0,0,1,0,1,0,0,0,0,0,0,0,0,0,95.82820964984546
52,12.0,0,1,0,1,0,0,0,0,0,0,0,0,0,99.07050994435772
53,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,102.31281023887
54,14.0,0,1,0,1,0,0,0,0,0,0,0,0,0,105.55511053338228
55,15.0,0,1,0,1,0,0,0,0,0,0,0,0,0,101.13025479490435
56,8.0,1,0,0,1,0,0,0,0,0,0,0,0,0,104.37255508941661
57,9.0,1,0,0,1,0,0,0,0,0,0,0,0,0,107.6148553839289
58,10.0,1,0,0,1,0,0,0,0,0,0,0,0,0,110.85715567844116
59,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,114.09945597295342
60,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,117.34175626746568
61,13.0,1,0,0,1,0,0,0,0,0,0,0,0,0,120.58405656197797
62,14.0,1,0,0,1,0,0,0,0,0,0,0,0,0,123.82635685649024
63,15.0,1,0,0,1,0,0,0,0,0,0,0,0,0,84.88998286506958
64,8.0,0,0,0,1,1,0,0,0,0,0,0,0,0,88.13228315958185
65,9.0,0,0,0,1,1,0,0,0,0,0,0,0,0,91.37458345409414
66,10.0,0,0,0,1,1,0,0,0,0,0,0,0,0,94.6168837486064
67,11.0,0,0,0,1,1,0,0,0,0,0,0,0,0,97.85918404311866
68,12.0,0,0,0,1,1,0,0,0,0,0,0,0,0,104.3437846321432
69,14.0,0,0,0,1,1,0,0,0,0,0,0,0,0,107.58608492665547
70,15.0,0,0,0,1,1,0,0,0,0,0,0,0,0,84.88998286506958
71,8.0,0,1,0,1,1,0,0,0,0,0,0,0,0,88.13228315958185
72,9.0,0,1,0,1,1,0,0,0,0,0,0,0,0,91.37458345409414
73,10.0,0,1,0,1,1,0,0,0,0,0,0,0,0,97.85918404311866
74,12.0,0,1,0,1,1,0,0,0,0,0,0,0,0,101.10148433763092
75,13.0,0,1,0,1,1,0,0,0,0,0,0,0,0,104.3437846321432
76,14.0,0,1,0,1,1,0,0,0,0,0,0,0,0,107.58608492665547
77,15.0,0,1,0,1,1,0,0,0,0,0,0,0,0,106.4035294826898
78,9.0,1,0,0,1,1,0,0,0,0,0,0,0,0,109.6458297772021
79,10.0,1,0,0,1,1,0,0,0,0,0,0,0,0,112.88813007171436
80,11.0,1,0,0,1,1,0,0,0,0,0,0,0,0,116.13043036622662
81,12.0,1,0,0,1,1,0,0,0,0,0,0,0,0,119.37273066073888
82,13.0,1,0,0,1,1,0,0,0,0,0,0,0,0,122.61503095525117
83,14.0,1,0,0,1,1,0,0,0,0,0,0,0,0,125.85733124976343
84,15.0,1,0,0,1,1,0,0,0,0,0,0,0,0,98.3836589694437
85,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,78.92985720237009
86,8.0,0,1,1,0,0,0,0,0,0,0,0,0,0,82.17215749688236
87,9.0,0,1,1,0,0,0,0,0,0,0,0,0,0,85.41445779139463
88,10.0,0,1,1,0,0,0,0,0,0,0,0,0,0,88.6567580859069
89,11.0,0,1,1,0,0,0,0,0,0,0,0,0,0,91.89905838041918
90,12.0,0,1,1,0,0,0,0,0,0,0,0,0,0,101.62595926395598
91,15.0,0,1,1,0,0,0,0,0,0,0,0,0,0,84.3986531293234
92,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,90.88325371834794
93,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,97.36785430737248
94,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,84.3986531293234
95,8.0,0,1,0,0,0,0,0,0,0,0,0,0,1,87.64095342383567
96,9.0,0,1,0,0,0,0,0,0,0,0,0,0,1,90.88325371834794
97,10.0,0,1,0,0,0,0,0,0,0,0,0,0,1,94.12555401286022
98,11.0,0,1,0,0,0,0,0,0,0,0,0,0,1,97.36785430737248
99,12.0,0,1,0,0,0,0,0,0,0,0,0,0,1,100.61015460188474
100,13.0,0,1,0,0,0,0,0,0,0,0,0,0,1,103.85245489639702
