,YYYY,DrugCode_0,DrugCode_1,StateCode_0,StateCode_1,StateCode_2,CountyCode_0,CountyCode_1,CountyCode_2,CountyCode_3,CountyCode_4,CountyCode_5,CountyCode_6,CountyCode_7,0
0,,,,,,,,,,,,,,,14.3
1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3
2,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3
3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
4,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.0
5,9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.0
6,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.0
7,11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.0
8,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.0
9,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.0
10,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.0
11,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4
12,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4
13,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4
14,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4
15,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,48.2
16,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,48.2
17,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,48.2
18,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,48.2
19,11.0,0,0,0,0,1,0,0,0,0,0,0,0,0,48.2
20,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,48.2
21,13.0,0,0,0,0,1,0,0,0,0,0,0,0,0,48.2
22,14.0,0,0,0,0,1,0,0,0,0,0,0,0,0,48.2
23,15.0,0,0,0,0,1,0,0,0,0,0,0,0,0,32.0
24,8.0,0,1,0,0,1,0,0,0,0,0,0,0,0,32.0
25,9.0,0,1,0,0,1,0,0,0,0,0,0,0,0,32.0
26,10.0,0,1,0,0,1,0,0,0,0,0,0,0,0,32.0
27,11.0,0,1,0,0,1,0,0,0,0,0,0,0,0,32.0
28,12.0,0,1,0,0,1,0,0,0,0,0,0,0,0,32.0
29,13.0,0,1,0,0,1,0,0,0,0,0,0,0,0,32.0
30,14.0,0,1,0,0,1,0,0,0,0,0,0,0,0,32.0
31,15.0,0,1,0,0,1,0,0,0,0,0,0,0,0,82.2
32,8.0,1,0,0,0,1,0,0,0,0,0,0,0,0,82.2
33,9.0,1,0,0,0,1,0,0,0,0,0,0,0,0,82.2
34,10.0,1,0,0,0,1,0,0,0,0,0,0,0,0,82.2
35,11.0,1,0,0,0,1,0,0,0,0,0,0,0,0,82.2
36,12.0,1,0,0,0,1,0,0,0,0,0,0,0,0,82.2
37,13.0,1,0,0,0,1,0,0,0,0,0,0,0,0,82.2
38,14.0,1,0,0,0,1,0,0,0,0,0,0,0,0,82.2
39,15.0,1,0,0,0,1,0,0,0,0,0,0,0,0,13.5
40,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.5
41,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.5
42,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.5
43,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.5
44,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.5
45,13.0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.5
46,14.0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.5
47,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.3
48,8.0,0,1,0,1,0,0,0,0,0,0,0,0,0,24.3
49,9.0,0,1,0,1,0,0,0,0,0,0,0,0,0,24.3
50,10.0,0,1,0,1,0,0,0,0,0,0,0,0,0,24.3
51,11.0,0,1,0,1,0,0,0,0,0,0,0,0,0,24.3
52,12.0,0,1,0,1,0,0,0,0,0,0,0,0,0,24.3
53,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,24.3
54,14.0,0,1,0,1,0,0,0,0,0,0,0,0,0,24.3
55,15.0,0,1,0,1,0,0,0,0,0,0,0,0,0,37.1
56,8.0,1,0,0,1,0,0,0,0,0,0,0,0,0,37.1
57,9.0,1,0,0,1,0,0,0,0,0,0,0,0,0,37.1
58,10.0,1,0,0,1,0,0,0,0,0,0,0,0,0,37.1
59,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,37.1
60,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,37.1
61,13.0,1,0,0,1,0,0,0,0,0,0,0,0,0,37.1
62,14.0,1,0,0,1,0,0,0,0,0,0,0,0,0,37.1
63,15.0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.7
64,8.0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.7
65,9.0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.7
66,10.0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.7
67,11.0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.7
68,12.0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.7
69,14.0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.7
70,15.0,0,0,0,1,1,0,0,0,0,0,0,0,0,13.7
71,8.0,0,1,0,1,1,0,0,0,0,0,0,0,0,13.7
72,9.0,0,1,0,1,1,0,0,0,0,0,0,0,0,13.7
73,10.0,0,1,0,1,1,0,0,0,0,0,0,0,0,13.7
74,12.0,0,1,0,1,1,0,0,0,0,0,0,0,0,13.7
75,13.0,0,1,0,1,1,0,0,0,0,0,0,0,0,13.7
76,14.0,0,1,0,1,1,0,0,0,0,0,0,0,0,13.7
77,15.0,0,1,0,1,1,0,0,0,0,0,0,0,0,6.6
78,9.0,1,0,0,1,1,0,0,0,0,0,0,0,0,6.6
79,10.0,1,0,0,1,1,0,0,0,0,0,0,0,0,6.6
80,11.0,1,0,0,1,1,0,0,0,0,0,0,0,0,6.6
81,12.0,1,0,0,1,1,0,0,0,0,0,0,0,0,6.6
82,13.0,1,0,0,1,1,0,0,0,0,0,0,0,0,6.6
83,14.0,1,0,0,1,1,0,0,0,0,0,0,0,0,6.6
84,15.0,1,0,0,1,1,0,0,0,0,0,0,0,0,6.8
85,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.4
86,8.0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.4
87,9.0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.4
88,10.0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.4
89,11.0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.4
90,12.0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.4
91,15.0,0,1,1,0,0,0,0,0,0,0,0,0,0,510.4
92,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,510.4
93,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,510.4
94,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.4
95,8.0,0,1,0,0,0,0,0,0,0,0,0,0,1,27.4
96,9.0,0,1,0,0,0,0,0,0,0,0,0,0,1,27.4
97,10.0,0,1,0,0,0,0,0,0,0,0,0,0,1,27.4
98,11.0,0,1,0,0,0,0,0,0,0,0,0,0,1,27.4
99,12.0,0,1,0,0,0,0,0,0,0,0,0,0,1,27.4
100,13.0,0,1,0,0,0,0,0,0,0,0,0,0,1,27.4
101,14.0,0,1,0,0,0,0,0,0,0,0,0,0,1,27.4
102,15.0,0,1,0,0,0,0,0,0,0,0,0,0,1,74.5
103,14.0,1,0,0,0,0,0,0,0,0,0,0,0,1,116.3
104,8.0,0,0,0,0,1,0,0,0,0,0,0,0,1,116.3
