,YYYY,DrugCode_0,DrugCode_1,StateCode_0,StateCode_1,StateCode_2,CountyCode_0,CountyCode_1,CountyCode_2,CountyCode_3,CountyCode_4,CountyCode_5,CountyCode_6,CountyCode_7,Pred_County
1,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
3,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
4,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,27.2
5,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,27.2
6,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,22.1
7,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,22.1
8,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,39
9,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,39
10,2024,0,1,0,0,0,0,0,0,0,0,0,0,0,23.8
11,2025,0,1,0,0,0,0,0,0,0,0,0,0,0,23.8
12,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5
13,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5
14,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,2.3
15,2025,1,0,0,0,0,0,0,0,0,0,0,0,0,1.8
16,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,2.7
17,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,2.8
18,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,6.6
19,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,6.6
20,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,9.9
21,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,9.9
22,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,32.8
23,2025,0,0,0,0,1,0,0,0,0,0,0,0,0,32.8
24,2018,0,1,0,0,1,0,0,0,0,0,0,0,0,69
25,2019,0,1,0,0,1,0,0,0,0,0,0,0,0,60.9
26,2020,0,1,0,0,1,0,0,0,0,0,0,0,0,55.7
27,2021,0,1,0,0,1,0,0,0,0,0,0,0,0,55.7
28,2022,0,1,0,0,1,0,0,0,0,0,0,0,0,58.5
29,2023,0,1,0,0,1,0,0,0,0,0,0,0,0,57.9
30,2024,0,1,0,0,1,0,0,0,0,0,0,0,0,53.2
31,2025,0,1,0,0,1,0,0,0,0,0,0,0,0,53.2
32,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,101.7
33,2019,1,0,0,0,1,0,0,0,0,0,0,0,0,101.8
34,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,78.4
35,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,74
36,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,105.1
37,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,115.4
38,2024,1,0,0,0,1,0,0,0,0,0,0,0,0,119.2
39,2025,1,0,0,0,1,0,0,0,0,0,0,0,0,119.2
40,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,7.4
41,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,7.4
42,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,9.9
43,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,9.9
44,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,3.3
45,2023,0,0,0,1,0,0,0,0,0,0,0,0,0,3.3
46,2024,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7
47,2025,0,0,0,1,0,0,0,0,0,0,0,0,0,7.7
48,2018,0,1,0,1,0,0,0,0,0,0,0,0,0,103.2
49,2019,0,1,0,1,0,0,0,0,0,0,0,0,0,31
50,2020,0,1,0,1,0,0,0,0,0,0,0,0,0,31.3
51,2021,0,1,0,1,0,0,0,0,0,0,0,0,0,30.4
52,2022,0,1,0,1,0,0,0,0,0,0,0,0,0,20.1
53,2023,0,1,0,1,0,0,0,0,0,0,0,0,0,20.1
54,2024,0,1,0,1,0,0,0,0,0,0,0,0,0,27
55,2025,0,1,0,1,0,0,0,0,0,0,0,0,0,27
56,2018,1,0,0,1,0,0,0,0,0,0,0,0,0,18.6
57,2019,1,0,0,1,0,0,0,0,0,0,0,0,0,18.6
58,2020,1,0,0,1,0,0,0,0,0,0,0,0,0,21.9
59,2021,1,0,0,1,0,0,0,0,0,0,0,0,0,25.3
60,2022,1,0,0,1,0,0,0,0,0,0,0,0,0,30.7
61,2023,1,0,0,1,0,0,0,0,0,0,0,0,0,36.4
62,2024,1,0,0,1,0,0,0,0,0,0,0,0,0,46
63,2025,1,0,0,1,0,0,0,0,0,0,0,0,0,46
64,2018,0,0,0,1,1,0,0,0,0,0,0,0,0,2.6
65,2019,0,0,0,1,1,0,0,0,0,0,0,0,0,2.6
66,2020,0,0,0,1,1,0,0,0,0,0,0,0,0,1.7
67,2021,0,0,0,1,1,0,0,0,0,0,0,0,0,1.7
68,2022,0,0,0,1,1,0,0,0,0,0,0,0,0,3.9
69,2024,0,0,0,1,1,0,0,0,0,0,0,0,0,3.4
70,2025,0,0,0,1,1,0,0,0,0,0,0,0,0,3.4
71,2018,0,1,0,1,1,0,0,0,0,0,0,0,0,15.1
72,2019,0,1,0,1,1,0,0,0,0,0,0,0,0,15.1
73,2020,0,1,0,1,1,0,0,0,0,0,0,0,0,12.1
74,2022,0,1,0,1,1,0,0,0,0,0,0,0,0,11.1
75,2023,0,1,0,1,1,0,0,0,0,0,0,0,0,11.1
76,2024,0,1,0,1,1,0,0,0,0,0,0,0,0,11.6
77,2025,0,1,0,1,1,0,0,0,0,0,0,0,0,11.6
78,2019,1,0,0,1,1,0,0,0,0,0,0,0,0,4
79,2020,1,0,0,1,1,0,0,0,0,0,0,0,0,6
80,2021,1,0,0,1,1,0,0,0,0,0,0,0,0,6
81,2022,1,0,0,1,1,0,0,0,0,0,0,0,0,26.3
82,2023,1,0,0,1,1,0,0,0,0,0,0,0,0,26.3
83,2024,1,0,0,1,1,0,0,0,0,0,0,0,0,9.7
84,2025,1,0,0,1,1,0,0,0,0,0,0,0,0,9.7
85,2024,0,0,1,0,0,0,0,0,0,0,0,0,0,10
86,2018,0,1,1,0,0,0,0,0,0,0,0,0,0,1.1
87,2019,0,1,1,0,0,0,0,0,0,0,0,0,0,1.1
88,2020,0,1,1,0,0,0,0,0,0,0,0,0,0,3
89,2021,0,1,1,0,0,0,0,0,0,0,0,0,0,3
90,2022,0,1,1,0,0,0,0,0,0,0,0,0,0,4.2
91,2025,0,1,1,0,0,0,0,0,0,0,0,0,0,10.7
92,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,7.8
93,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,9.5
94,2022,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7
95,2018,0,1,0,0,0,0,0,0,0,0,0,0,1,49.5
96,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,50.1
97,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,44.3
98,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,38.4
99,2022,0,1,0,0,0,0,0,0,0,0,0,0,1,29
100,2023,0,1,0,0,0,0,0,0,0,0,0,0,1,29
101,2024,0,1,0,0,0,0,0,0,0,0,0,0,1,21.6
102,2025,0,1,0,0,0,0,0,0,0,0,0,0,1,21.6
103,2024,1,0,0,0,0,0,0,0,0,0,0,0,1,162.6
104,2018,0,0,0,0,1,0,0,0,0,0,0,0,1,4.8
105,2019,0,0,0,0,1,0,0,0,0,0,0,0,1,4.6
106,2020,0,0,0,0,1,0,0,0,0,0,0,0,1,9.7
107,2021,0,0,0,0,1,0,0,0,0,0,0,0,1,9.7
108,2022,0,0,0,0,1,0,0,0,0,0,0,0,1,9.5
109,2023,0,0,0,0,1,0,0,0,0,0,0,0,1,9.5
