,0,1,2,3,target
0,0,21,1,2018,2.1
1,0,21,1,2019,2.1
2,0,21,1,2020,1.3
3,0,21,3,2018,5.4
4,0,21,3,2020,8.9
5,0,21,3,2022,22.3
6,0,21,5,2018,4.1
7,0,21,5,2019,4.0
8,0,21,5,2021,4.0
9,0,21,5,2023,29.3
10,0,21,5,2024,29.6
11,0,21,5,2025,29.6
12,0,21,7,2024,50.2
13,0,21,9,2018,4.0
14,0,21,9,2019,4.0
15,0,21,9,2020,4.6
16,0,21,9,2021,4.6
17,0,21,9,2022,3.0
18,0,21,9,2023,3.0
19,0,21,9,2025,5.9
20,0,21,11,2018,3.6
21,0,21,11,2019,3.6
22,0,21,11,2020,3.5
23,0,21,11,2021,3.5
24,0,21,11,2023,14.7
25,0,21,11,2024,5.9
26,0,21,11,2025,5.9
27,0,21,13,2018,5.7
28,0,21,13,2019,5.7
29,0,21,13,2020,5.8
30,0,21,13,2021,5.8
31,0,21,13,2022,15.2
32,0,21,13,2023,15.2
33,0,21,13,2024,6.5
34,0,21,13,2025,6.5
35,0,21,15,2018,4.2
36,0,21,15,2019,4.2
37,0,21,15,2020,2.7
38,0,21,15,2021,2.7
39,0,21,15,2022,11.9
40,0,21,15,2023,11.9
41,0,21,15,2024,36.5
42,0,21,15,2025,36.5
43,0,21,17,2018,3.9
44,0,21,17,2019,3.9
45,0,21,17,2021,1.0
46,0,21,17,2023,5.9
47,0,21,17,2024,7.9
48,0,21,17,2025,7.9
49,0,21,19,2018,5.3
50,0,21,19,2019,5.3
51,0,21,19,2020,4.6
52,0,21,19,2021,4.6
53,0,21,19,2022,11.7
54,0,21,19,2023,11.7
55,0,21,19,2024,6.8
56,0,21,19,2025,6.8
57,0,21,21,2018,2.6
58,0,21,21,2019,2.6
59,0,21,21,2020,1.4
60,0,21,21,2021,1.4
61,0,21,21,2022,6.0
62,0,21,21,2023,6.0
63,0,21,21,2024,4.6
64,0,21,21,2025,4.6
65,0,21,23,2019,2.1
66,0,21,23,2020,1.9
67,0,21,23,2021,1.9
68,0,21,23,2022,1.7
69,0,21,23,2023,1.7
70,0,21,23,2024,13.4
71,0,21,25,2018,9.6
72,0,21,25,2019,10.4
73,0,21,25,2020,13.1
74,0,21,25,2021,13.1
75,0,21,25,2022,2.8
76,0,21,25,2023,2.8
77,0,21,25,2024,4.0
78,0,21,25,2025,4.0
79,0,21,27,2019,3.0
80,0,21,27,2020,5.8
81,0,21,27,2025,4.6
82,0,21,29,2018,2.1
