,0,1,2,3,4,target
0,0,21,1,2010,1,3.6
1,0,21,1,2011,1,2.2
2,0,21,1,2012,2,2.7
3,0,21,3,2010,4,3.0
4,0,21,3,2012,5,4.6
5,0,21,3,2014,3,3.2
6,0,21,5,2010,2,3.8
7,0,21,5,2011,7,6.5
8,0,21,5,2013,1,1.7
9,0,21,5,2015,2,2.3
10,0,21,5,2016,3,3.0
11,0,21,5,2017,6,5.8
12,0,21,7,2016,1,2.6
13,0,21,9,2010,5,4.9
14,0,21,9,2011,6,5.7
15,0,21,9,2012,4,4.3
16,0,21,9,2013,3,2.3
17,0,21,9,2014,3,3.5
18,0,21,9,2015,3,3.0
19,0,21,9,2017,4,4.6
20,0,21,11,2010,1,1.9
21,0,21,11,2011,4,3.9
22,0,21,11,2012,3,3.6
23,0,21,11,2013,1,1.6
24,0,21,11,2015,5,4.5
25,0,21,11,2016,3,3.1
26,0,21,11,2017,6,5.6
27,0,21,13,2010,10,8.5
28,0,21,13,2011,8,7.8
29,0,21,13,2012,6,6.2
30,0,21,13,2013,6,5.1
31,0,21,13,2014,8,9.5
32,0,21,13,2015,11,23.9
33,0,21,13,2016,6,5.3
34,0,21,13,2017,4,5.0
35,0,21,15,2010,7,7.1
36,0,21,15,2011,10,8.2
37,0,21,15,2012,3,3.7
38,0,21,15,2013,2,2.2
39,0,21,15,2014,20,20.0
40,0,21,15,2015,80,73.7
41,0,21,15,2016,77,69.9
42,0,21,15,2017,129,93.8
43,0,21,17,2010,2,3.5
44,0,21,17,2011,2,4.0
45,0,21,17,2013,1,3.6
46,0,21,17,2015,1,35.4
47,0,21,17,2016,2,11.2
48,0,21,17,2017,6,54.2
49,0,21,19,2010,7,5.9
50,0,21,19,2011,7,7.0
51,0,21,19,2012,7,6.6
52,0,21,19,2013,7,5.8
53,0,21,19,2014,11,10.2
54,0,21,19,2015,10,9.6
55,0,21,19,2016,15,14.0
56,0,21,19,2017,65,53.2
57,0,21,21,2010,1,1.0
58,0,21,21,2011,1,1.0
59,0,21,21,2012,4,3.5
60,0,21,21,2013,1,1.6
61,0,21,21,2014,7,9.0
62,0,21,21,2015,6,8.5
63,0,21,21,2016,18,17.1
64,0,21,21,2017,51,49.3
65,0,21,23,2011,1,1.1
66,0,21,23,2012,2,2.4
67,0,21,23,2013,2,3.0
68,0,21,23,2014,1,2.1
69,0,21,23,2015,4,4.6
70,0,21,23,2016,5,7.2
71,0,21,25,2010,13,11.1
72,0,21,25,2011,6,8.7
73,0,21,25,2012,13,8.6
74,0,21,25,2013,14,11.4
75,0,21,25,2014,2,2.5
76,0,21,25,2015,5,4.5
77,0,21,25,2016,1,2.0
78,0,21,25,2017,3,16.4
79,0,21,27,2011,1,6.1
80,0,21,27,2012,1,3.5
81,0,21,27,2017,1,7.6
82,0,21,29,2010,9,9.9
83,0,21,29,2011,12,10.6
84,0,21,29,2012,1,2.5
85,0,21,29,2013,5,4.2
86,0,21,29,2014,4,3.0
87,0,21,29,2015,5,4.7
88,0,21,29,2016,12,10.9
89,0,21,29,2017,31,16.8
90,0,21,31,2010,1,4.2
91,0,21,31,2014,1,1.6
92,0,21,31,2016,4,7.7
93,0,21,33,2011,1,2.1
94,0,21,33,2014,1,1.0
95,0,21,33,2016,1,3.5
96,0,21,33,2017,1,5.1
97,0,21,35,2011,1,4.2
98,0,21,35,2013,1,5.5
99,0,21,35,2015,1,28.7
100,0,21,35,2016,1,4.0
101,0,21,35,2017,5,419.5
102,0,21,37,2010,27,19.8
103,0,21,37,2011,22,18.8
104,0,21,37,2012,14,14.8
105,0,21,37,2013,11,12.8
106,0,21,37,2014,61,51.0
107,0,21,37,2015,92,71.7
108,0,21,37,2016,114,114.6
109,0,21,37,2017,226,203.6
110,0,21,39,2010,2,6.1
111,0,21,41,2010,3,2.7
112,0,21,41,2011,3,2.8
113,0,21,41,2012,2,2.1
114,0,21,41,2014,6,5.4
115,0,21,41,2015,9,17.2
116,0,21,41,2016,8,20.0
117,0,21,41,2017,19,27.4
118,0,21,43,2010,3,2.8
119,0,21,43,2011,2,2.3
120,0,21,43,2012,3,2.7
121,0,21,43,2013,2,3.0
122,0,21,43,2014,4,4.4
123,0,21,43,2015,5,6.4
124,0,21,43,2016,9,12.6
125,0,21,43,2017,32,26.9
126,0,21,45,2010,3,2.7
127,0,21,45,2011,3,2.6
128,0,21,45,2012,2,2.4
129,0,21,45,2013,4,3.5
130,0,21,45,2015,1,2.2
131,0,21,45,2016,1,4.8
132,0,21,47,2010,1,1.5
133,0,21,47,2014,1,1.9
134,0,21,47,2016,8,8.3
135,0,21,49,2010,8,4.9
136,0,21,49,2011,2,2.6
137,0,21,49,2012,2,2.0
138,0,21,49,2013,1,1.6
139,0,21,49,2014,3,3.5
140,0,21,49,2015,9,7.6
141,0,21,49,2016,11,7.4
142,0,21,49,2017,20,14.2
143,0,21,51,2010,5,5.3
144,0,21,51,2011,7,5.5
145,0,21,51,2013,4,4.1
146,0,21,51,2014,6,5.4
147,0,21,51,2015,5,5.7
148,0,21,51,2016,1,3.7
149,0,21,53,2012,2,1.8
150,0,21,53,2013,1,1.5
151,0,21,53,2014,4,4.5
152,0,21,53,2015,2,2.4
153,0,21,53,2017,1,4.9
154,0,21,55,2010,2,1.8
155,0,21,55,2015,1,1.6
156,0,21,57,2014,1,1.5
157,0,21,57,2015,2,2.1
158,0,21,57,2016,4,3.9
159,0,21,59,2010,1,1.0
160,0,21,59,2011,3,2.8
161,0,21,59,2013,1,1.7
162,0,21,59,2014,3,2.6
163,0,21,59,2015,2,2.0
164,0,21,59,2016,5,4.2
165,0,21,59,2017,3,3.8
166,0,21,61,2010,1,8.6
167,0,21,61,2011,2,9.6
168,0,21,61,2013,2,7.2
169,0,21,61,2014,1,1.4
170,0,21,61,2015,1,160.5
171,0,21,61,2016,3,3.7
172,0,21,63,2012,2,1.9
173,0,21,63,2017,2,68.4
174,0,21,65,2011,1,4.2
175,0,21,65,2012,1,3.6
176,0,21,65,2014,3,9.4
177,0,21,65,2016,5,22.7
