,YYYY,FIPS,DrugReports,Tag
1,2010,51001,1,0.0
2,2010,39001,9,1.0
3,2010,42001,2,0.0
4,2010,51510,5,2.0
5,2010,42003,5,1.0
6,2010,21003,15,1.0
7,2010,21003,1,1.0
8,2010,51007,1,2.0
9,2010,51013,41,2.0
10,2010,42005,1,0.0
11,2010,39005,45,1.0
12,2010,39005,2,1.0
13,2010,39007,7,1.0
14,2010,39007,21,1.0
15,2010,39009,72,2.0
16,2010,39009,1,0.0
17,2010,39011,35,2.0
18,2010,39011,1,0.0
19,2010,39011,2,0.0
20,2010,54001,1,1.0
21,2010,21009,3,1.0
22,2010,21011,1,1.0
23,2010,21011,7,1.0
24,2010,42009,3,1.0
25,2010,51019,1,0.0
26,2010,21013,148,1.0
27,2010,21013,3,1.0
28,2010,54003,6,1.0
29,2010,42011,5,1.0
30,2010,51021,1,0.0
31,2010,21015,56,1.0
32,2010,54005,1,0.0
33,2010,21023,5,1.0
34,2010,54007,35,1.0
35,2010,21025,13,0.0
36,2010,21027,1,1.0
37,2010,39015,1,0.0
38,2010,39015,14,2.0
39,2010,51029,1,2.0
40,2010,51029,2,0.0
41,2010,42017,5,1.0
42,2010,42017,32,0.0
43,2010,21029,2,1.0
44,2010,39017,15,1.0
45,2010,39017,80,1.0
46,2010,42019,9,1.0
47,2010,42019,2,1.0
48,2010,54011,116,1.0
49,2010,54013,1,1.0
50,2010,42021,44,1.0
51,2010,42023,1,2.0
52,2010,42023,2,1.0
53,2010,42025,20,2.0
54,2010,42025,1,0.0
55,2010,51033,5,1.0
56,2010,51033,8,1.0
57,2010,21041,8,2.0
58,2010,39019,2,1.0
59,2010,21043,1,0.0
60,2010,21045,1,1.0
61,2010,51540,1,1.0
62,2010,51550,3,0.0
63,2010,42029,95,2.0
64,2010,51041,5,1.0
65,2010,51041,9,1.0
66,2010,21047,7,1.0
67,2010,21047,3,1.0
68,2010,42031,35,2.0
69,2010,42033,11,1.0
70,2010,39025,17,0.0
71,2010,39027,5,0.0
72,2010,51570,2,1.0
73,2010,42037,1,0.0
74,2010,42037,29,2.0
75,2010,39029,34,2.0
76,2010,39029,1,0.0
77,2010,39033,3,1.0
78,2010,42039,1,0.0
79,2010,42039,2,0.0
80,2010,42039,2,0.0
81,2010,21055,8,1.0
82,2010,39035,2,0.0
83,2010,39035,251,1.0
84,2010,39035,4,1.0
85,2010,51590,6,1.0
86,2010,42043,3,1.0
87,2010,21059,1,1.0
88,2010,39039,2,1.0
89,2010,39039,9,1.0
90,2010,39041,1,1.0
91,2010,42045,97,1.0
92,2010,42045,61,1.0
93,2010,51051,14,1.0
94,2010,54017,2,1.0
95,2010,39043,5,1.0
96,2010,39043,1,0.0
97,2010,42049,2,0.0
98,2010,51057,2,1.0
99,2010,51059,2,0.0
100,2010,51059,167,1.0
101,2010,51001,1,1.0
102,2010,21001,1,0.0
103,2010,42001,1,1.0
104,2010,51003,7,1.0
105,2010,51003,3,1.0
106,2010,51005,13,1.0
107,2010,51005,1,0.0
108,2010,42003,3,0.0
109,2010,42003,20,1.0
110,2010,39003,51,1.0
111,2010,51007,2,1.0
112,2010,51009,5,1.0
113,2010,51013,6,1.0
114,2010,39005,1,1.0
115,2010,39011,4,1.0
116,2010,51015,1,0.0
117,2010,21009,3,1.0
118,2010,21009,2,0.0
119,2010,51017,2,1.0
120,2010,42007,2,1.0
121,2010,42007,2,1.0
122,2010,42009,6,1.0
123,2010,51019,2,1.0
124,2010,21013,11,1.0
125,2010,39013,1,1.0
126,2010,54003,146,2.0
127,2010,51021,4,1.0
128,2010,51021,4,1.0
129,2010,21015,47,2.0
130,2010,21015,1,0.0
131,2010,21017,3,1.0
132,2010,21019,5,2.0
133,2010,21019,21,1.0
134,2010,21021,21,1.0
135,2010,21021,31,1.0
136,2010,21025,4,2.0
137,2010,51520,13,1.0
138,2010,39015,5,1.0
139,2010,51027,23,1.0
140,2010,42017,13,1.0
141,2010,51530,2,1.0
142,2010,21029,1,1.0
143,2010,21035,1,1.0
144,2010,42023,1,1.0
145,2010,21037,5,1.0
146,2010,51031,6,1.0
147,2010,51031,1,1.0
148,2010,51035,12,1.0
149,2010,21043,1,1.0
150,2010,21043,3,1.0
151,2010,21043,2,0.0
152,2010,42027,11,1.0
153,2010,39021,17,1.0
154,2010,51540,4,1.0
155,2010,51550,12,1.0
156,2010,42029,23,1.0
157,2010,42029,82,1.0
158,2010,21049,1,1.0
159,2010,51043,1,0.0
160,2010,21051,39,1.0
161,2010,42033,13,1.0
162,2010,42033,1,1.0
163,2010,39025,2,1.0
164,2010,21053,1,1.0
165,2010,39027,2,0.0
166,2010,39027,5,1.0
167,2010,42035,1,1.0
168,2010,51570,1,0.0
169,2010,51570,2,1.0
170,2010,51570,1,0.0
171,2010,39031,2,1.0
172,2010,51045,7,1.0
173,2010,42039,12,1.0
174,2010,42039,1,0.0
175,2010,51047,34,1.0
176,2010,51047,1,1.0
177,2010,21057,3,1.0
178,2010,51049,3,1.0
179,2010,39035,36,1.0
180,2010,39037,2,1.0
181,2010,42043,1,0.0
182,2010,42043,2,1.0
183,2010,42043,12,1.0
184,2010,21059,3,1.0
185,2010,39041,4,1.0
186,2010,42045,1,0.0
187,2010,51051,18,1.0
188,2010,51051,1,1.0
189,2010,51053,1,1.0
190,2010,21063,1,2.0
191,2010,39043,19,1.0
192,2010,39043,40,1.0
193,2010,39043,4,1.0
194,2010,42049,5,1.0
195,2010,51057,1,1.0
196,2010,51059,5,1.0
197,2010,51059,1,0.0
198,2010,51600,2,1.0
199,2010,51600,2,0.0
200,2010,39045,186,2.0
201,2010,51003,4,2.0
202,2010,51510,2,0.0
203,2010,51005,3,0.0
204,2010,51005,4,0.0
205,2010,42003,280,1.0
206,2010,42003,10,0.0
207,2010,39003,1,0.0
208,2010,39003,2,0.0
209,2010,51009,3,1.0
210,2010,51009,1,1.0
211,2010,21005,1,1.0
212,2010,21005,7,1.0
213,2010,21005,3,1.0
214,2010,42005,4,1.0
215,2010,42005,2,1.0
216,2010,39009,4,1.0
217,2010,51015,9,1.0
218,2010,21009,11,1.0
219,2010,21011,1,0.0
220,2010,42007,9,1.0
221,2010,51515,1,1.0
222,2010,21013,1,1.0
223,2010,39013,19,1.0
224,2010,54003,9,1.0
225,2010,42011,1,0.0
226,2010,42011,172,2.0
227,2010,42013,1,0.0
228,2010,51023,2,1.0
229,2010,51023,9,1.0
230,2010,21017,2,1.0
231,2010,21019,5,0.0
232,2010,42015,1,1.0
233,2010,42015,2,1.0
234,2010,42015,13,1.0
235,2010,42015,4,1.0
236,2010,21025,3,1.0
237,2010,21025,17,1.0
238,2010,21025,4,1.0
239,2010,51027,98,1.0
240,2010,42017,2,0.0
241,2010,42017,618,2.0
242,2010,42017,3,0.0
243,2010,42017,27,0.0
244,2010,21029,71,1.0
245,2010,21029,2,1.0
246,2010,39017,17,0.0
247,2010,54013,1,1.0
248,2010,54013,1,1.0
249,2010,42021,13,1.0
250,2010,51031,1,0.0
251,2010,51033,1,1.0
252,2010,39019,1,1.0
253,2010,51035,2,2.0
254,2010,21043,4,1.0
255,2010,21043,17,1.0
256,2010,39021,1,0.0
257,2010,39021,37,2.0
258,2010,51037,1,1.0
259,2010,51037,2,1.0
260,2010,51540,3,2.0
261,2010,51550,7,1.0
262,2010,51550,2,1.0
263,2010,51550,14,1.0
264,2010,42029,5,1.0
265,2010,51041,69,2.0
266,2010,51041,6,0.0
267,2010,21047,19,1.0
268,2010,42031,7,1.0
269,2010,42031,5,1.0
270,2010,21049,8,0.0
271,2010,51043,4,2.0
272,2010,42033,1,0.0
273,2010,39025,1,0.0
274,2010,39025,167,2.0
275,2010,39027,7,1.0
276,2010,39027,17,1.0
277,2010,42035,1,0.0
278,2010,39029,2,1.0
279,2010,39029,2,1.0
280,2010,51045,12,2.0
281,2010,51045,2,0.0
282,2010,39033,48,2.0
283,2010,39033,2,0.0
284,2010,42039,1,0.0
285,2010,42041,5,1.0
286,2010,51049,2,2.0
287,2010,39035,12,1.0
288,2010,39035,21,1.0
