,target,0,1,2,3,4,5,6,7,8,9
0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,6,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1
2,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
3,18,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6
4,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
5,22,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4
6,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
7,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
8,26,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6
9,5,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
10,86,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9,70.9
11,3,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
12,27,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
13,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
14,32,24.0,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5
15,7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
16,33,39.4,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9
17,1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
18,6,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8
19,18,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7
20,2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
21,3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3
22,12,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4
23,3,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
24,3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3
25,16,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3
26,1,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
27,5,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
28,57,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6
29,6,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
30,93,101.4,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,101.4
31,3,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
32,4,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
33,70,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1
34,3,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
35,58,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6
36,2,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8
37,3,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
38,47,49.7,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,49.7
39,3,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
40,37,39.3,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,39.3
41,7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
42,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
43,51,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4
44,4,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
45,63,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1
46,3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
47,48,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1
48,3,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
49,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,37,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6
51,5,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
52,65,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2
53,4,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
54,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
55,8,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
56,7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
57,10,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
58,251,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0
59,2,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8
60,8,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
61,117,143.7,143.7,143.7,143.7,143.7,143.7,143.7,143.7,143.7,143.7
62,6,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
63,158,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5,183.5
64,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
65,138,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1
66,8,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
67,467,309.8,313.1,313.1,313.1,313.1,313.1,313.1,313.1,313.1,313.1
68,1,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5
69,11,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
70,315,232.3,235.6,235.6,235.6,235.6,235.6,235.6,235.6,235.6,235.6
71,3,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
72,6,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
73,201,146.6,157.1,157.1,157.1,157.1,157.1,157.1,157.1,157.1,157.1
74,6,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9
75,7,6.3,6.3,5.7,5.7,5.7,5.7,5.7,5.7,5.7,6.3
76,90,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6
77,47,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4
78,10,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
79,72,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
80,55,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
81,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
82,69,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6
83,160,158.2,158.2,158.2,158.2,158.2,158.2,158.2,158.2,158.2,158.2
84,2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
85,68,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3
86,229,203.2,203.2,203.2,203.2,203.2,203.2,203.2,203.2,203.2,203.2
87,20,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
88,27,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1
89,168,159.4,159.4,159.4,159.4,159.4,159.4,159.4,159.4,159.4,159.4
90,80,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6
91,54,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7
92,227,181.9,181.9,181.9,181.9,181.9,181.9,181.9,181.9,181.9,181.9
93,77,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6
94,28,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8
95,164,150.4,150.4,150.4,150.4,150.4,150.4,150.4,150.4,150.4,150.4
96,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
97,46,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8
98,2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
99,25,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7
100,1,4.0,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
101,1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
102,45,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7
103,7,6.7,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,6.7
104,1,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
105,11,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1
106,4,6.6,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
107,2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
108,14,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9
109,9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
110,7,7.6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
111,295,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1,162.1
112,5,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6
113,7,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
114,307,236.6,236.6,236.6,236.6,236.6,236.6,236.6,236.6,236.6,236.6
115,40,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2
