,target,0,1,2,3,4,5,6,7,8,9
0,1.3,2.0,1.1,1.1,1.3,1.2,1.2,1.5,2.4,2.1,1.2
1,15.2,14.3,24.5,18.6,28.1,16.5,10.7,18.8,17.4,13.9,21.9
2,1.4,1.8,1.2,1.4,1.3,1.2,1.6,1.3,1.5,2.7,1.5
3,18.3,14.5,20.7,15.1,20.0,20.7,21.2,17.0,17.0,23.2,17.4
4,1.9,2.6,2.2,1.8,1.9,1.9,1.9,1.9,1.9,2.9,2.9
5,24.8,22.0,21.8,20.3,18.7,21.5,16.9,18.5,20.4,20.6,27.6
6,1.7,3.0,1.6,1.3,1.7,2.5,3.4,1.8,2.5,1.1,9.5
7,3.2,3.7,3.8,3.6,3.8,3.8,3.9,3.6,3.3,4.5,3.4
8,25.5,41.7,23.6,24.4,25.0,21.7,20.9,24.8,25.9,35.7,23.9
9,5.3,5.0,3.8,4.3,4.3,4.4,3.9,4.6,4.6,4.4,4.2
10,73.9,84.3,59.0,63.1,69.3,71.5,59.9,71.1,53.0,79.3,79.0
11,3.1,3.1,2.6,2.2,2.8,3.3,3.2,3.2,3.2,3.1,3.1
12,24.1,30.7,19.6,22.6,23.4,19.7,24.1,31.9,29.6,24.4,32.1
13,2.5,2.7,3.4,1.9,2.7,1.8,2.4,2.8,2.4,2.5,4.0
14,30.5,28.3,30.3,21.8,29.1,21.4,24.8,28.5,27.2,28.8,26.5
15,5.6,6.3,6.1,4.8,5.6,5.0,7.0,5.5,5.6,5.6,5.8
16,35.4,23.4,27.4,27.3,39.2,41.7,24.7,31.2,33.9,42.2,32.1
17,7.1,1.6,3.5,2.9,1.2,2.0,2.5,1.6,2.3,4.1,2.3
18,7.4,21.8,11.7,12.1,6.7,8.4,12.0,15.0,6.4,12.2,8.2
19,13.7,16.5,15.5,14.3,12.8,15.4,16.8,19.2,17.2,20.1,16.6
20,2.7,1.6,2.1,3.1,2.3,2.0,2.5,1.9,4.3,1.9,1.8
21,12.3,17.3,3.4,11.7,10.4,14.4,10.0,3.0,7.3,8.9,19.0
22,10.1,11.1,15.5,20.8,11.5,13.4,12.1,15.5,12.2,13.7,16.4
23,3.0,5.1,2.7,3.1,2.9,8.4,2.8,5.3,5.7,4.4,3.6
24,9.0,22.4,5.3,21.7,17.6,36.1,8.4,7.1,6.4,3.5,4.4
25,13.9,20.8,11.2,15.1,17.3,15.4,17.5,19.3,16.0,15.2,18.4
26,1.6,1.6,2.4,1.6,1.1,1.1,1.1,1.5,3.7,1.2,2.2
27,4.7,5.7,7.3,6.6,5.1,4.9,5.7,5.6,7.2,6.9,5.4
28,61.4,59.4,72.7,82.7,96.3,57.4,73.8,66.6,69.6,79.4,58.2
29,4.8,5.3,6.9,6.0,4.8,6.4,5.4,6.8,5.0,6.5,5.3
30,72.3,88.8,78.2,78.9,69.0,93.0,70.6,76.8,67.1,81.0,94.2
31,6.2,7.5,14.3,2.8,14.7,12.1,2.9,6.1,2.9,2.9,3.0
32,6.5,4.8,6.0,4.7,3.9,5.6,4.7,5.8,4.9,5.9,3.9
33,76.2,72.8,68.8,89.3,70.8,66.9,115.0,67.0,72.3,81.8,86.5
34,3.5,3.1,5.9,5.2,4.7,5.2,3.4,3.9,3.6,4.2,4.1
35,59.1,66.7,48.5,87.1,73.6,92.9,58.2,44.1,55.6,61.6,48.8
36,7.3,7.4,9.0,2.6,2.0,4.4,1.9,3.3,1.8,1.9,4.2
37,2.6,5.5,3.6,3.8,6.3,4.3,3.3,3.6,3.5,2.9,5.3
38,65.5,55.3,37.9,47.2,41.1,46.4,51.6,47.5,45.6,62.9,38.4
39,6.1,6.0,3.6,3.5,3.1,4.0,3.3,4.6,4.4,3.0,6.1
40,42.3,52.1,43.3,33.3,39.9,50.9,33.1,29.9,33.6,59.0,34.9
41,6.0,7.4,7.7,13.9,19.5,4.4,11.8,6.7,5.4,10.2,9.2
42,2.1,4.1,2.9,4.1,2.1,1.4,2.0,2.4,2.5,6.1,1.3
43,60.2,55.1,42.2,48.0,52.9,46.1,59.8,55.9,68.2,97.7,45.6
44,3.9,3.3,3.6,3.0,3.0,2.7,3.9,3.2,2.1,3.7,3.8
45,53.0,57.8,47.4,52.0,47.1,63.8,48.1,43.8,48.9,57.1,54.2
46,2.7,3.9,2.0,2.9,2.1,4.2,4.6,2.8,3.3,4.9,4.1
47,43.9,40.2,42.4,35.9,37.3,44.6,36.3,40.5,40.5,46.6,40.4
48,10.3,3.3,3.8,5.9,3.6,3.7,4.5,4.1,3.8,4.1,3.2
49,2.3,2.7,2.0,3.8,1.2,3.0,3.5,1.5,2.1,3.2,2.3
50,34.0,32.2,37.5,42.9,37.4,38.8,29.0,32.4,37.3,32.1,24.8
51,4.1,5.5,4.1,4.2,3.4,4.0,4.4,4.4,3.8,4.4,3.4
52,58.7,54.7,42.6,53.2,45.9,52.8,50.0,57.0,42.3,38.6,46.7
53,3.8,6.6,6.8,6.8,4.3,10.4,13.4,5.3,13.9,4.2,4.9
