0,1,2,HC_YEAR,target
0,21,1,2010,1
1,21,1,2010,6
0,21,1,2011,1
1,21,1,2011,18
0,21,1,2012,2
1,21,1,2012,22
2,21,1,2012,1
0,21,3,2010,4
1,21,3,2010,26
0,21,3,2012,5
1,21,3,2012,86
0,21,3,2014,3
1,21,3,2014,27
0,21,5,2010,2
1,21,5,2010,32
0,21,5,2011,7
1,21,5,2011,33
0,21,5,2013,1
1,21,5,2013,6
2,21,5,2013,18
0,21,5,2015,2
1,21,5,2015,3
2,21,5,2015,12
0,21,5,2016,3
1,21,5,2016,3
2,21,5,2016,16
0,21,7,2016,1
0,21,9,2010,5
1,21,9,2010,57
0,21,9,2011,6
1,21,9,2011,93
2,21,9,2011,3
0,21,9,2012,4
1,21,9,2012,70
0,21,9,2013,3
1,21,9,2013,58
2,21,9,2013,2
0,21,9,2014,3
1,21,9,2014,47
0,21,9,2015,3
1,21,9,2015,37
2,21,9,2015,7
0,21,11,2010,1
1,21,11,2010,51
0,21,11,2011,4
1,21,11,2011,63
0,21,11,2012,3
1,21,11,2012,48
2,21,11,2012,3
0,21,11,2013,1
1,21,11,2013,37
0,21,11,2015,5
1,21,11,2015,65
2,21,11,2015,4
0,21,11,2016,3
1,21,11,2016,8
2,21,11,2016,7
0,21,13,2010,10
1,21,13,2010,251
2,21,13,2010,2
0,21,13,2011,8
1,21,13,2011,117
0,21,13,2012,6
1,21,13,2012,158
0,21,13,2013,6
1,21,13,2013,138
0,21,13,2014,8
1,21,13,2014,467
2,21,13,2014,1
0,21,13,2015,11
1,21,13,2015,315
2,21,13,2015,3
0,21,13,2016,6
1,21,13,2016,201
2,21,13,2016,6
0,21,15,2010,7
1,21,15,2010,90
2,21,15,2010,47
0,21,15,2011,10
1,21,15,2011,72
2,21,15,2011,55
0,21,15,2012,3
1,21,15,2012,69
2,21,15,2012,160
0,21,15,2013,2
1,21,15,2013,68
2,21,15,2013,229
0,21,15,2014,20
1,21,15,2014,27
2,21,15,2014,168
0,21,15,2015,80
1,21,15,2015,54
2,21,15,2015,227
0,21,15,2016,77
1,21,15,2016,28
2,21,15,2016,164
0,21,17,2010,2
1,21,17,2010,46
0,21,17,2011,2
1,21,17,2011,25
2,21,17,2011,1
0,21,17,2013,1
1,21,17,2013,45
2,21,17,2013,7
0,21,17,2015,1
1,21,17,2015,11
2,21,17,2015,4
0,21,17,2016,2
1,21,17,2016,14
2,21,17,2016,9
0,21,19,2010,7
1,21,19,2010,295
2,21,19,2010,5
0,21,19,2011,7
1,21,19,2011,307
2,21,19,2011,40
0,21,19,2012,7
1,21,19,2012,177
2,21,19,2012,60
0,21,19,2013,7
1,21,19,2013,155
2,21,19,2013,75
0,21,19,2014,11
1,21,19,2014,134
2,21,19,2014,95
0,21,19,2015,10
1,21,19,2015,142
2,21,19,2015,51
0,21,19,2016,15
1,21,19,2016,54
2,21,19,2016,54
0,21,21,2010,1
1,21,21,2010,59
0,21,21,2011,1
1,21,21,2011,37
2,21,21,2011,1
0,21,21,2012,4
1,21,21,2012,39
0,21,21,2013,1
1,21,21,2013,37
2,21,21,2013,26
0,21,21,2014,7
1,21,21,2014,25
2,21,21,2014,45
0,21,21,2015,6
1,21,21,2015,14
2,21,21,2015,33
0,21,21,2016,18
1,21,21,2016,40
2,21,21,2016,58
0,21,23,2011,1
1,21,23,2011,20
2,21,23,2011,3
0,21,23,2012,2
1,21,23,2012,15
2,21,23,2012,21
0,21,23,2013,2
1,21,23,2013,8
2,21,23,2013,10
0,21,23,2014,1
1,21,23,2014,10
2,21,23,2014,13
0,21,23,2015,4
2,21,23,2015,12
0,21,23,2016,5
1,21,23,2016,4
2,21,23,2016,15
0,21,25,2010,13
1,21,25,2010,87
2,21,25,2010,4
0,21,25,2011,6
1,21,25,2011,8
0,21,25,2012,13
1,21,25,2012,55
2,21,25,2012,1
0,21,25,2013,14
1,21,25,2013,68
2,21,25,2013,1
0,21,25,2014,2
1,21,25,2014,15
0,21,25,2015,5
1,21,25,2015,25
0,21,25,2016,1
1,21,25,2016,19
2,21,25,2016,3
0,21,27,2011,1
1,21,27,2011,3
0,21,27,2012,1
1,21,27,2012,8
0,21,29,2010,9
1,21,29,2010,117
0,21,29,2011,12
1,21,29,2011,128
2,21,29,2011,4
0,21,29,2012,1
1,21,29,2012,86
2,21,29,2012,34
0,21,29,2013,5
1,21,29,2013,48
2,21,29,2013,87
0,21,29,2014,4
1,21,29,2014,42
2,21,29,2014,48
0,21,29,2015,5
1,21,29,2015,31
2,21,29,2015,52
0,21,29,2016,12
1,21,29,2016,15
2,21,29,2016,36
0,21,31,2010,1
1,21,31,2010,4
0,21,31,2014,1
1,21,31,2014,6
2,21,31,2014,1
0,21,31,2016,4
1,21,31,2016,14
2,21,31,2016,1
0,21,33,2011,1
1,21,33,2011,7
0,21,33,2014,1
1,21,33,2014,18
0,21,33,2016,1
1,21,33,2016,11
0,21,35,2011,1
1,21,35,2011,23
0,21,35,2013,1
1,21,35,2013,15
0,21,35,2015,1
1,21,35,2015,17
0,21,35,2016,1
1,21,35,2016,30
2,21,35,2016,5
0,21,37,2010,27
1,21,37,2010,117
2,21,37,2010,86
0,21,37,2011,22
1,21,37,2011,136
2,21,37,2011,156
0,21,37,2012,14
1,21,37,2012,119
2,21,37,2012,318
0,21,37,2013,11
1,21,37,2013,94
2,21,37,2013,528
0,21,37,2014,61
1,21,37,2014,93
2,21,37,2014,500
0,21,37,2015,92
1,21,37,2015,78
2,21,37,2015,464
0,21,37,2016,114
1,21,37,2016,95
2,21,37,2016,383
0,21,39,2010,2
1,21,39,2010,4
0,21,41,2010,3
1,21,41,2010,44
2,21,41,2010,8
0,21,41,2011,3
1,21,41,2011,64
2,21,41,2011,23
0,21,41,2012,2
1,21,41,2012,58
2,21,41,2012,62
0,21,41,2014,6
1,21,41,2014,40
2,21,41,2014,54
0,21,41,2015,9
1,21,41,2015,21
2,21,41,2015,26
0,21,41,2016,8
1,21,41,2016,13
2,21,41,2016,17
