,YYYY,DrugReports,DrugCode_0,DrugCode_1,StateCode_0,StateCode_1,StateCode_2,CountyCode_0,CountyCode_1,CountyCode_2,CountyCode_3,CountyCode_4,CountyCode_5,CountyCode_6,CountyCode_7
0,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2012,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2010,6,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2011,18,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2012,22,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2013,15,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2014,45,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2015,15,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2016,20,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2017,15,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,2013,2,1,0,0,0,0,0,0,0,0,0,0,0,0
13,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,2,1,0,0,0,0,0,0,0,0,0,0,0,0
15,2010,14,0,0,0,0,1,0,0,0,0,0,0,0,0
16,2011,7,0,0,0,0,1,0,0,0,0,0,0,0,0
17,2012,3,0,0,0,0,1,0,0,0,0,0,0,0,0
18,2013,2,0,0,0,0,1,0,0,0,0,0,0,0,0
19,2014,9,0,0,0,0,1,0,0,0,0,0,0,0,0
20,2015,22,0,0,0,0,1,0,0,0,0,0,0,0,0
21,2016,35,0,0,0,0,1,0,0,0,0,0,0,0,0
22,2017,33,0,0,0,0,1,0,0,0,0,0,0,0,0
23,2010,201,0,1,0,0,1,0,0,0,0,0,0,0,0
24,2011,76,0,1,0,0,1,0,0,0,0,0,0,0,0
25,2012,57,0,1,0,0,1,0,0,0,0,0,0,0,0
26,2013,49,0,1,0,0,1,0,0,0,0,0,0,0,0
27,2014,62,0,1,0,0,1,0,0,0,0,0,0,0,0
28,2015,43,0,1,0,0,1,0,0,0,0,0,0,0,0
29,2016,38,0,1,0,0,1,0,0,0,0,0,0,0,0
30,2017,33,0,1,0,0,1,0,0,0,0,0,0,0,0
31,2010,50,1,0,0,0,1,0,0,0,0,0,0,0,0
32,2011,60,1,0,0,0,1,0,0,0,0,0,0,0,0
33,2012,115,1,0,0,0,1,0,0,0,0,0,0,0,0
34,2013,61,1,0,0,0,1,0,0,0,0,0,0,0,0
35,2014,93,1,0,0,0,1,0,0,0,0,0,0,0,0
36,2015,95,1,0,0,0,1,0,0,0,0,0,0,0,0
37,2016,111,1,0,0,0,1,0,0,0,0,0,0,0,0
38,2017,41,1,0,0,0,1,0,0,0,0,0,0,0,0
39,2010,4,0,0,0,1,0,0,0,0,0,0,0,0,0
40,2011,6,0,0,0,1,0,0,0,0,0,0,0,0,0
41,2012,1,0,0,0,1,0,0,0,0,0,0,0,0,0
42,2013,2,0,0,0,1,0,0,0,0,0,0,0,0,0
43,2014,2,0,0,0,1,0,0,0,0,0,0,0,0,0
44,2015,10,0,0,0,1,0,0,0,0,0,0,0,0,0
45,2016,24,0,0,0,1,0,0,0,0,0,0,0,0,0
46,2017,14,0,0,0,1,0,0,0,0,0,0,0,0,0
47,2010,34,0,1,0,1,0,0,0,0,0,0,0,0,0
48,2011,34,0,1,0,1,0,0,0,0,0,0,0,0,0
49,2012,28,0,1,0,1,0,0,0,0,0,0,0,0,0
50,2013,38,0,1,0,1,0,0,0,0,0,0,0,0,0
51,2014,19,0,1,0,1,0,0,0,0,0,0,0,0,0
52,2015,28,0,1,0,1,0,0,0,0,0,0,0,0,0
53,2016,36,0,1,0,1,0,0,0,0,0,0,0,0,0
54,2017,23,0,1,0,1,0,0,0,0,0,0,0,0,0
55,2010,14,1,0,0,1,0,0,0,0,0,0,0,0,0
56,2011,20,1,0,0,1,0,0,0,0,0,0,0,0,0
57,2012,12,1,0,0,1,0,0,0,0,0,0,0,0,0
58,2013,20,1,0,0,1,0,0,0,0,0,0,0,0,0
59,2014,29,1,0,0,1,0,0,0,0,0,0,0,0,0
60,2015,54,1,0,0,1,0,0,0,0,0,0,0,0,0
